Date,Time,ValueIn,ValueOut,OutsideTraffic,TurnInRate,Day
2020-11-26,0:00,0,0,1174,0,Thursday
2020-11-26,1:00,0,0,334,0,Thursday
2020-11-26,2:00,0,0,106,0,Thursday
2020-11-26,3:00,0,0,74,0,Thursday
2020-11-26,4:00,0,0,74,0,Thursday
2020-11-26,5:00,0,0,78,0,Thursday
2020-11-26,6:00,0,0,186,0,Thursday
2020-11-26,7:00,0,0,424,0,Thursday
2020-11-26,8:00,0,0,268,0,Thursday
2020-11-26,9:00,3,0,468,0.64,Thursday
2020-11-26,10:00,3,0,930,0.32,Thursday
2020-11-26,11:00,13,0,1370,0.94,Thursday
2020-11-26,12:00,9,0,1058,0.84,Thursday
2020-11-26,13:00,13,0,800,1.6,Thursday
2020-11-26,14:00,14,0,970,1.42,Thursday
2020-11-26,15:00,13,6,1220,1.05,Thursday
2020-11-26,16:00,14,11,1780,0.78,Thursday
2020-11-26,17:00,32,29,2126,1.48,Thursday
2020-11-26,18:00,24,14,2562,0.93,Thursday
2020-11-26,19:00,19,24,2622,0.72,Thursday
2020-11-26,20:00,15,22,3468,0.43,Thursday
2020-11-26,21:00,6,22,3388,0.18,Thursday
2020-11-26,22:00,8,26,4148,0.19,Thursday
2020-11-26,23:00,2,26,4144,0.05,Thursday
2020-11-27,0:00,0,0,3502,0,Friday
2020-11-27,1:00,0,0,1206,0,Friday
2020-11-27,2:00,0,0,252,0,Friday
2020-11-27,3:00,0,0,102,0,Friday
2020-11-27,4:00,0,0,78,0,Friday
2020-11-27,5:00,0,0,96,0,Friday
2020-11-27,6:00,0,0,86,0,Friday
2020-11-27,7:00,0,0,94,0,Friday
2020-11-27,8:00,0,0,608,0,Friday
2020-11-27,9:00,0,0,1334,0,Friday
2020-11-27,10:00,0,0,1038,0,Friday
2020-11-27,11:00,0,0,956,0,Friday
2020-11-27,12:00,0,0,1176,0,Friday
2020-11-27,13:00,0,0,3954,0,Friday
2020-11-27,14:00,0,0,3556,0,Friday
2020-11-27,15:00,12,4,4720,0.25,Friday
2020-11-27,16:00,62,47,5512,1.11,Friday
2020-11-27,17:00,53,60,5536,0.95,Friday
2020-11-27,18:00,79,69,6054,1.29,Friday
2020-11-27,19:00,32,29,4514,0.7,Friday
