Date,Total sales,Items cost,Taxes,Offers,Profits
2021-01-01,4586,1602.16,598.17,213,2385.67
2021-01-02,2946,1227.58,384.25,18,1334.17
2021-01-03,1242,518.67,162,0,561.33
2021-01-04,2631.5,1225.24,343.29,142,1062.97
2021-01-05,3291,1198.42,429.25,0,1663.33
2021-01-06,4154,1851.84,541.88,61,1760.28
2021-01-07,4865,1925.85,634.64,0,2304.51
2021-01-08,7726,3458.17,1007.83,19,3260
2021-01-09,5017.99,1964.09,654.56,0,2399.34
2021-01-10,2647,1239.22,345.3,0,1062.48
2021-01-11,2256,1024.14,294.3,0,937.56
2021-01-12,4109,1794.4,535.96,18,1778.64
2021-01-13,3052,1316.77,398.13,0,1337.1
2021-01-14,4473,2135.04,583.44,7,1754.52
2021-01-15,6054,2715.08,789.74,25,2549.18
2021-01-16,5069,2311.62,661.19,0,2096.19
2021-01-17,2914,1318.24,380.09,0,1215.67
2021-01-18,2737,1239.86,357.03,16,1140.11
2021-01-19,3777,1576.94,492.72,7,1707.34
2021-01-20,3274,1667.85,427.12,0,1179.03
2021-01-21,3252,1691.43,424.22,0,1136.35
2021-01-22,4591,2464.6,598.83,0,1527.57
2021-01-23,4540,2267,592.23,0,1680.77
2021-01-24,2089,1177.92,272.52,0,638.56
2021-01-25,2476,1135.37,322.96,0,1017.67
2021-01-26,3551,1749.31,463.19,20,1338.5
2021-01-27,3168,1576.51,413.25,21,1178.24
2021-01-28,3930,1870.34,512.62,0,1547.04
2021-01-29,6451,2905.6,841.53,49,2703.87
2021-01-30,3208,1786.55,418.48,0,1002.97
2021-01-31,2611,1223.12,340.62,0,1047.26
2021-02-01,3475,1311.95,453.32,0,1709.73
2021-02-02,3184,1405.15,415.34,0,1363.51
2021-02-03,2972,1354.08,387.69,0,1230.23
2021-02-04,2807,1261.64,366.18,0,1179.18
2021-02-05,1203,720.78,156.9,15,325.32
2021-02-06,1066,592.66,139.04,0,334.3
2021-02-07,850,474.93,110.86,0,264.21
2021-02-08,516,344.95,67.32,0,103.73
2021-02-09,411,237.34,53.61,0,120.05
2021-02-10,1014,483.89,132.3,0,397.81
2021-02-11,771,524.82,100.58,0,145.6
2021-02-12,1133,541.43,147.78,25,443.79
2021-02-13,1035.5,549.78,135.08,19,350.64
2021-02-14,2148,1575.09,280.17,0,292.74
2021-02-15,660,380.07,86.09,0,193.84
2021-02-16,371,165.14,48.41,0,157.45
2021-02-17,377,273.03,49.17,0,54.8
2021-02-18,786,438.88,102.52,0,244.6
2021-02-19,862,345.33,112.46,0,404.21
2021-02-20,1201,698.07,156.65,0,346.28
2021-02-21,566,300.68,73.83,0,191.49
2021-02-22,399,171.52,52.05,0,175.43
2021-02-23,457,174.98,59.64,0,222.38
2021-02-24,590,303.28,76.96,0,209.76
2021-02-25,950,517.9,123.94,0,308.16
2021-02-26,911,562.77,118.85,24,229.38
2021-02-27,670,271.34,87.41,0,311.25
2021-02-28,600,318.54,78.27,20,203.19
2021-03-01,464,244.42,60.55,19,159.03
2021-03-02,801,558.12,104.49,23,138.39
2021-03-03,665,324.03,86.76,0,254.21
2021-03-04,585,314.7,76.32,25,193.98
2021-03-05,1002,430.19,130.7,8,441.11
2021-03-06,633,274.17,82.57,0,276.26
2021-03-07,2226,908.99,290.37,37,1026.64
2021-03-08,3082,1206.93,402.03,8.99,1473.04
2021-03-09,1483,680.74,193.47,0,608.79
2021-03-10,1803,758.34,235.2,0,809.46
2021-03-11,3183,1528.25,415.22,9,1239.53
2021-03-12,1069,466.76,139.43,0,462.81
2021-03-13,1761,843.23,229.76,8,688.01
2021-03-14,1420,677.64,185.21,8,557.15
2021-03-15,1861,1055,242.76,8,563.24
2021-03-16,2226,1128.17,290.37,42,807.46
2021-03-17,1279,478.53,166.82,0,633.65
2021-03-18,2532,1273.81,330.31,37,927.88
2021-03-19,4074,1937.61,531.47,93,1604.92
2021-03-20,2214.99,917.08,288.93,0,1008.98
2021-03-21,1654.99,708.09,215.89,8,731.01
2021-03-22,2363,1088.81,308.25,0,965.94
2021-03-23,2475,1437.05,322.83,25,715.12
2021-03-24,2225,1067.66,290.23,0,867.11
2021-03-25,3123.99,1607.99,407.53,8,1108.47
2021-03-26,3343,1543.96,436.07,59,1362.97
2021-03-27,2184,1002.48,284.89,0,896.63
2021-03-28,1632,788.81,212.88,0,630.31
2021-03-29,2531,1308.33,330.19,7,892.48
2021-03-30,2858,1360.88,372.79,0,1124.33
2021-03-31,2763,1488.75,360.39,0,913.86
2021-04-01,3367,1747.64,439.22,0,1180.14
2021-04-02,4795,2226.86,625.48,25,1942.66
2021-04-03,2600,1311.96,339.15,0,948.89
2021-04-04,1483,711.21,193.46,15,578.33
2021-04-05,1581,814.95,206.19,41,559.86
2021-04-06,1788,809.41,233.27,0,745.32
2021-04-07,1846,655.57,240.85,0,949.58
2021-04-08,2489.99,1317.74,324.8,0,847.45
2021-04-09,2075,1013.83,270.67,33,790.5
2021-04-10,1484,748,193.57,87,542.43
2021-04-11,1711,707.52,223.16,26,780.32
2021-04-12,886,450.59,115.59,34,319.82
2021-04-13,241,132.49,31.44,0,77.07
2021-04-14,895,559.71,116.75,198,218.54
2021-04-15,1562,701.06,203.76,12,657.18
2021-04-16,1433,642.57,186.94,38,603.49
2021-04-17,1179,573.4,153.79,42,451.81
